violence_against_minorities,refugees
1.008156263,-0.228863424
1.008156263,-0.176081364
-0.141708712,1.455945174
-2.441438662,-0.791173387
-1.387395768,-0.734364546
0.337401695,-0.792298315
1.008156263,0.757408779
1.008156263,2.657776455
0.529045857,-0.780899814
0.337401695,1.919631131
0.624867938,-0.523635769
-2.058150337,-0.400017709
0.337401695,-0.207069674
-0.81246328,-0.677034564
-1.195751605,-0.798074474
0.816512101,-0.795719013
-0.237530793,-0.108861203
0.72069002,-0.087703381
1.008156263,-0.194739091
1.008156263,-0.161025701
-0.429174955,1.449999128
-1.866506174,-0.791049416
-1.099929524,-0.777201328
0.529045857,-0.780011351
1.008156263,0.535538627
1.008156263,2.78550624
0.624867938,-0.781735475
0.72069002,1.919631131
0.529045857,0.080934739
-1.57903993,-0.39966416
0.433223776,-0.185195573
-0.908285362,-0.67605427
-0.908285362,-0.798044629
0.912334182,-0.795360873
-0.04588663,-0.20727859
0.816512101,0.16902575
0.912334182,-0.195785962
0.816512101,-0.19732872
-0.141708712,1.449994537
-1.962328255,-0.790982838
-0.620819118,-0.777189849
0.433223776,-0.771992225
1.008156263,0.493548984
0.72069002,2.306603916
0.337401695,-0.770750213
0.912334182,2.191390672
0.72069002,0.239023793
-1.483217849,-0.403569266
0.529045857,-0.179203612
-0.81246328,-0.666627836
-1.866506174,-0.797971164
0.433223776,-0.795425154
-0.333352874,-0.661342972
1.008156263,1.282747653
0.72069002,-0.147942104
0.624867938,-0.16111294
0.337401695,1.449994537
-2.153972418,-0.791191753
-0.81246328,-0.777116384
-0.04588663,-0.765148533
0.816512101,0.509506885
1.008156263,2.399747918
0.145757532,-0.775552965
0.72069002,1.152228507
1.008156263,0.434435189
-1.674862012,-0.516702542
0.337401695,-0.176643828
-1.004107443,-0.655415293
-1.57903993,-0.798012488
0.241579613,-0.794201509
-0.524997037,-0.624252504
